URL,Etiology,Symptoms
https://www.orthobullets.com/shoulder-and-elbow/3132/luxatio-erecta-inferior-glenohumeral-joint-dislocation,"Pathophysiology
pathoanatomy
typically a high-energy injury
hyperabduction force applied to arm, levering the proximal humerus onto the acromion, injuring inferior capsule/labrum, which subsequently allows for disengagement of HH inferiorly from glenoid
commonly involves variable sized tearing of static glenohumeral ligaments
Associated conditions (common)
neurovascular injury
has greatest incidence of neurovascular injury of all types of shoulder dislocations
brachial plexopathy
axillary artery injuries
proximal humerus fractures
especially greater tuberosity
rotator cuff tears
anterior capsule and labral tears","shoulder pain
inability to move shoulder - arm is in fixed, abducted, overhead position
neurovascular injury
neurologic injury up to 60%
vascular injury up to 39%"
https://www.orthobullets.com/anatomy/10015/teres-minor,,
https://www.orthobullets.com/recon/422808/arthroplasty-preoperative-medical-optimization,,
https://www.orthobullets.com/knee-and-sports/3002/patellofemoral-joint,,
https://www.orthobullets.com/anatomy/12318/virtual-curriculum-question-bank,,
https://www.orthobullets.com/pediatrics/4098/kniest-dysplasia,"Genetics
autosomal dominant
defect in COL2A1 (missense, splice or deletion)
defect leads to abnormal
Type II collagen, chondrocyte degeneration, cytoplasmic inclusions
Associated conditions
orthopaedic manifestations
short stature
disproportionate short-trunk dwarfism
joint stiffness / contractures
dumbell-shaped femora
hypoplastic pelvis and spine
scoliosis & kyphosis
early osteoarthritis
medical conditions
respiratory problems
cleft palate
retinal detachment and myopia
otitis media with hearing loss",
https://www.orthobullets.com/hand/6041/scapholunate-ligament-injury-and-disi,"Pathophysiology
mechanism of injury
sudden impact force applied to the hand and wrist causing SLIL injury and scapholunate dissociation
injury occurs most commonly with wrist positioned in extension, ulnar deviation and carpal supination
pathoanatomy
osseous
SLIL tearing will position the scaphoid in flexion and lunate extension
ligamentous
diastasis of the scapholunate complex occurs with complete SLIL tears and capsule disruption.
Associated injuries
DISI (dorsal intercalated segmental instability)
scapholunate dissociation causes the scaphoid to flex palmar and the lunate to dorsiflex
if left untreated the DISI deformity can progress into a
SLAC wrist
DISI deformity may also develop secondary to distal pole of the scaphoid excision for treatment of STT arthritis
DISI is a form of carpal instability dissociative","usually
dorsal and radial-sided wrist pain
pain increased with loading across the wrist (e.g. push up position)
clicking or catching in the wrist
may be associated with wrist instability or weakness"
https://www.orthobullets.com/pediatrics/4044/hemihypertrophy,"Pathophysiology
most common causes are
idiopathic (non-syndromic)
syndromic
neurofibromatosis
Beckwith-Wiedemann syndrome
Klippel-Trenauney syndrome
Proteus syndrome
Associated conditions
orthopaedic manifestations
scoliosis (compensatory)
peripheral nerve entrapment (rare)
medical conditions & comorbidities
malignant intra-abdominal tumors
Wilm's tumor
(most common)
perform serial abdominal ultrasounds (every 3 months) until age 7 to rule out Wilm's tumor
then physical exam every 6 months until skeletal maturity
adrenal carcinoma
hepatoblastoma
genitourinary abnormalities
medullary sponge kidneys
polycystic kidney
inguinal hernias",
https://www.orthobullets.com/pediatrics/4080/overlapping-toe,"Pathophysiology
pathoanatomy
due to contraction of the extensor digitorum longus
Genetics
often familial",may cause problems with shoe wear
https://www.orthobullets.com/anatomy/10006/scalene,,
https://www.orthobullets.com/knee-and-sports/3107/popliteal-artery-entrapment-syndrome,"Mechanism
typically due to underlying anatomic abnormality
Pathophysiology
decreased blood flow distal to the popliteal fossa leading to signs and symptoms consistent with compartment syndrome","swelling
patients often report limb swelling as primary complaint
paresthesias
foot numbness and paresthesias also common
tingling sensation of toes following vigorous exercise
cramping
calf cramping following even light exercise as the condition worsens
limbs can occasionally be asymptomatic"
https://www.orthobullets.com/foot-and-ankle/7016/synovitis-of-2nd-mtp,"Pathoanatomy
synovitis causes the capsuloligamentous apparatus of the MTP joint to become stretched
stretching leads to instability
instability leads to deformity
attenuation of plantar plate
extension of MTP joint
sagittal plane deformity
associated with cross-over toe deformity
MTP instability can lead to
dorsal dislocation of MTP joint
predisposition to
hammer toe
deformity","pain
warm joint
fullness of joint"
https://www.orthobullets.com/anatomy/10011/coracobrachialis,,
https://www.orthobullets.com/pathology/8061/plantar-fibromatosis-ledderhose-disease,"Pathophysiology
occurs in 3 phases
proliferative phase
characterized by increased fibroblast activity and cell proliferation
involutional/active phase
characterized by nodule formation
residual/resting phase
characterized by decreased fibroblast activity, collagen maturation, and scar/contracture formation
Genetics
unlike Dupuytren's disease, the genetic basis of plantar fibromatosis is unclear
Associated conditions
Dupuytren's disease
occurs in 25% with Dupuytren's
Peyronie's disease","usually asymptomatic
may become painful"
https://www.orthobullets.com/anatomy/12307/aaos-sae-questions,,
https://www.orthobullets.com/hand/6069/congenital-radial-head-dislocation,"Pathoanatomy
almost always
posterior dislocation of radial head
often combined with
bowing of the radius
the radius often
appears too long compared to the ulna
Associated conditions
may have concurrent congenital anomalies","patients often
asymptomatic
limited elbow ROM"
https://www.orthobullets.com/hand/6101/paronychia,"Pathophysiology
organism
acute infection
adults - usually caused by
S
taphylococcus aureus
children - usually mixed oropharyngeal flora
diabetics - mixed bacterial infection
chronic infection
C
andida albicans
(more common in diabetics)
often unresponsive to antibiotics","acute paronychia
pain and
nail fold tenderness
erythema
swelling
chronic paronychia
recurrent
bouts of low-grade inflammation (less severe than acute paronychia)"
https://www.orthobullets.com/recon/5035/knee-arthrodesis,,
https://www.orthobullets.com/pediatrics/4059/femoral-anteversion,"Femoral anteversion is characterized by
increased anteversion of the femoral neck
relative to the femur
compensatory internal rotation of the femur
lower extremity intoeing
There are three main causes of intoeing including
femoral anteversion
(this topic)
metatarsus adductus
(infants)
internal tibial torsion
(toddlers)
Pathophysiology
a packaging disorders caused by intra-uterine positioning
most spontaneously resolve by age 10
Associated conditions
can be seen in association with other packaging disorders
DDH
metatarsus adductus
congenital muscular torticollis","parents complain of an intoeing gait in early childhood
child classically sits in the
W position (see above image)
knee pain when associated with tibial torsion
awkward running style
when extreme in an older child occasional functional limitations in sports and activities of daily living can occur
difficulty with tripping during walking or running activities
can be more symptomatic in those with neuromuscular diseases and brace-dependent walkers
secondary to lever-arm dysfunction and decreased compensatory mechanisms"
https://www.orthobullets.com/pediatrics/4005/humeral-shaft-fracture--pediatric,"Pathophysiology
mechanism of injury
typically associated with trauma
pathomechanics
neonates
hyper-extension or rotational injury during birth
adolescents
usually direct trauma
pathophysiology
consider a
pathologic
process if fracture is a result of a low energy mechanism
may be associated with
child abuse
if age <3 and fracture pattern is spiral
Associated conditions
radial nerve palsy
associated with up to 5% of humeral shaft fractures","pain
arm deformity"
https://www.orthobullets.com/pediatrics/4041/developmental-coxa-vara,"Pathophysiology
proximal femoral cartilaginous physis
or
ossification center defects lead to
decreased proximal femoral neck-shaft angle
vertical position of the proximal femoral physis and varus
pathomechanics
coxa vara and vertical physis increases
physeal sheering forces
inferior medial neck compressive forces
Genetics
no clear inheritance pattern
Associated conditions
femoral neck
stress fractures
decreased limb length
early hip osteoarthritis","usually painless
gait abnormality
waddling or limp (trendelenburg gait)
caused by abductor weakness from tension abnormality"
https://www.orthobullets.com/hand/322143/wrist-trauma-radiographic-evaluation,,
https://www.orthobullets.com/basic-science/9090/platelet-rich-plasma,,
https://www.orthobullets.com/hand/6087/epidermal-inclusion-cyst,"Pathophysiology
results from a
penetrating injury
that drives
keratinizing epithelium
into subcutaneous tissues or bone
cells grow slowly to produce an
epithelial cell-lined cyst filled with keratin","painless mass, most commonly occurring in the fingertip
although less common, erythematous, painful lesions have been reported"
https://www.orthobullets.com/hand/6033/flexor-carpi-radialis-tendinitis,"Pathoanatomy
primary stenosing tenosynovitis within the fibroosseous tunnel (see Anatomy)
secondary tendinitis associated with
scaphoid fracture
scaphoid cysts
distal radius fracture
scaphoid-trapezium-trapezoid joint arthritis
thumb CMC joint arthritis",volar radial aspect of the wrist
https://www.orthobullets.com/spine/2075/king-classification-of-ais,,
https://www.orthobullets.com/shoulder-and-elbow/12111/partial-elbow-arthroplasty,,
https://www.orthobullets.com/pediatrics/322103/pediatric-knee-trauma-radiographic-evaluation,,
https://www.orthobullets.com/anatomy/10092/abductor-hallucis,,
https://www.orthobullets.com/foot-and-ankle/7043/deep-peroneal-nerve-entrapment,"Pathophysiology
site of compression
anterior leg/ankle/foot from 1 cm proximal to ankle joint proximally to talonavicular joint distally
position of compression
ankle inversion and plantar flexion (when traumatic)
pathoanatomy
intrinsic impingement
dorsal osteophytes over tibiotalar or talonavicular joints
other bony deformity (pes cavus, post-fracture)
ganglion cyst
tumor
tendinitis or hypertrophic muscle belly of EHL, EDL or TA
peripheral edema
extrinsic impingement
tight laces or ski boots
high heels (induces plantar flexion)
trauma (including recurrent ankle instability)
Associated conditions
pes cavus
fracture
navicular nonunion
talonavicular arthritis
systemic conditions causing peripheral edema","dysesthesia and paresthesias on dorsal foot
lateral hallux, medial second toe and first web space are most common locations
vague pain on dorsum of foot"
https://www.orthobullets.com/hand/6080/macrodactyly-local-gigantism,"Pathophysiology
etiology unknown
no genetic correlations known to date
affected digits correspond with
neurologic innervation
the median nerve being the most common
Associated conditions
lipfibromatous hamartoma of the median nerve is the adult homolog
has been associated with:
Proteus syndrome
Banayan-Riley-Ruvalcabe's disease
Maffucci syndrome
Ollier’s disease
Milroy’s disease","pain
inability to use digits
complaints of cosmetic issues"
https://www.orthobullets.com/anatomy/10086/soleus,,
https://www.orthobullets.com/shoulder-and-elbow/3041/subacromial-impingement,"Pathophysiology
subacromial impingement is thought to be a combination of
extrinsic compression
of the rotator cuff between the humeral head and
anterior acromion
coracoacromial ligaments
acromioclavicular joint
intrinsic degeneration
supraspinatus
attrition of the supraspinatus leads to inability to balance the humeral head on the glenoid causing superior migration and narrowing of the subacromial space
inflammatory process
inflammation of the subacromial bursa
due to abutement between the humerus and rotator cuff, and acromion and associated ligaments
Subacromial impingement
is the first stage of rotator cuff disease which is a continuum of disease from
impingement and bursitis
partial to full-thickness tear
massive rotator cuff tears
rotator cuff tear arthropathy
Associated conditions
hook-shaped acromion
os acromiale
posterior capsular contracture
scapular dyskinesia
tuberosity fracture malunion
instability","pain
insidious onset
exacerbated by overhead activities and lifting objects away from body
night pain
poor indicator of successful nonoperative management"
https://www.orthobullets.com/pediatrics/12781/epiphyseal-bracket,"Pathophysiology
incomplete development of primary ossification centers
aberrant physeal cartilage
extending along the diaphysis interferes with the normal
the growth of the abnormal epiphysis leads to a short, wide,
triangular or trapezoidal phalanx
growth disturbance due to longitudinally oriented cartilaginous bracket
growth follows a ""C-shaped"" curve
Genetics
autosomal dominant when present in hand
otherwise sporadic
Associated conditions
Rubinstein -Taybi syndrome
fibrodysplasia ossificans progressiva
hallux varus
in feet
clindodactyly and polydactyly in hands
Apert's syndrome",
https://www.orthobullets.com/hand/6085/congenital-clasped-thumb,"Pathophysiology
genetics
autosomal dominance inheritance of variable expressivity
may be
sporadic
pathoanatomy
attenuation or deficiency of EPB (more common, in mild cases) or EPL, or both
associated with 1st web contracture
contracture of adductor pollicis or first dorsal interosseous muscle
global instability of first MP joint
abnormal articular cartilage of first MP joint
Orthopedic considerations
common manifestations associated with disease
lower limb anomalies
congenital vertical talus
congenital talipes equinovarus (bilateral)
upper limb anomalies
flexion deformities of the four fingers
Associated conditions
arthrogryphosis
(congenital joint contractures affect two or more areas in the body)
digitotalar dysmorphisms
Freeman-Sheldon syndrome
X-linked MASA syndrome","pain usually with a contracture
associated with other musculo-skeletal deformities"
https://www.orthobullets.com/hand/6039/digital-collateral-ligament-injury,"Mechanism
depends on the joint involved
usually the result of a ""jammed finger""
doral or volar dislocation events can tear one or both of the collateral ligaments","pain at involved joint
instabilty with pinch once pain resolved"
https://www.orthobullets.com/anatomy/10097/flexor-hallucis-brevis,,
https://www.orthobullets.com/hand/6016/quadriga-effect,"Mechanism
most commonly caused by a
functional shortening
of the FDP tendon due to
over-advancement of the FDP
during tendon repair
>1 cm advancement
associated with quadriga
adhesions
retraction of the tendon
""
over-the-top
"" FDP repair of the distal phalanx after amputation
Pathoanatomy
FDP tendons of long, ring, and little fingers share a common muscle belly
therefore excursion of the combined tendons is equal to the shortest tendon
improper shortening of a tendon during repair results in inability to fully flex adjacent fingers","inability to fully flex the fingers of the hand adjacent to the injured finger
patient may complain of ""weak grip"""
https://www.orthobullets.com/anatomy/10018/brachialis,,
https://www.orthobullets.com/trauma/4003/neonatal-forearm-compartment-syndrome,"Pathophysiology
mechanism       of injury
possible        birth trauma (see below)
idiopathic       is most common
pathophysiology
exact        mechanism unknown, although both extrinsic and intrinsic factors are believed        to be involved
extrinsic
(mechanical
compression
with forearm being trapped between structures)
fetal         posture
oligohydramnios
umbilical         cord loops
amniotic         band constriction
direct         birth trauma
intrinsic
(
clotting
)
hypercoagulable         state producing arterial/venous compression","common symptoms
all patients present with skin lesion
(wide spectrum)
bullae
erythema
ulcerative
distal digital/hand edema
eschar
fingertip gangrene
duration
presents at birth"
https://www.orthobullets.com/trauma/1036/femoral-head-fractures,"Pathophysiology
mechanism of injury
impaction, avulsion or shear forces involved
unrestrained passenger MVA (knee against dashboard)
falls from height
sports injury
industrial accidents
pathoanatomy
the location and size of the fracture fragment and degree of comminution depend on the
position of the hip
at the time of dislocation
5-15% of posterior hip dislocations
are associated with a femoral head fracture because of
contact between femoral head and posterior rim of acetabulum
anterior hip dislocations are associated with
impaction/indentation fractures of the femoral head
Associated conditions
femoral neck fracture (see Pipkin Classification below)
acetabular fracture (see Pipkin Classification below)
sciatic nerve neuropraxia
femoral head AVN
ipsilateral knee ligamentous instability (knee vs dashboard)","localized hip pain
unable to bear weight
other symptoms associated with impact"
https://www.orthobullets.com/hand/6044/carpal-instability-nondissociative-cind,"Pathophysiology
radiocarpal instability (""inferior arc injury"")
high-energy injury
ulnar translation signifies global rupture of extrinsic ligaments
distal radius malunion is the most common cause
may be purely ligamentous or have associated ulnar and radial styloid fractures
Associated conditions
intracarpal injury (scapholunate or lunotriquetral ligament)
acute carpal tunnel syndrome
compartment syndrome","subluxation that may or may not be painful
complain of wrist giving way
irritating clunking sign
""clunk"" when wrist is moved ulnarly from flexion to extension with an axial load"
https://www.orthobullets.com/basic-science/9034/scurvy,"Pathophysiology
humans are unable to synthesize L-ascorbic acid because the enzyme L-gluconolactone oxidase is nonfunctional
Vitamin C deficiency leads to decrease in
chondroitin sulfate and collagen
synthesis and repair
impaired intracellular
hydroxylation
of collagen peptides
net effect is altered bone formatin with the greatest effect occuring in the
metaphysis
defect in
spongiosa
of the metaphysis at the growth plate
because the demand for type I collagen is greatest during new bone formation","malaise and fatigue
pain
bone pain
myalgia, because of reduced carnitine production
bleeding
gum bleeding and loosening of teeth
hematuria
hematemesis
hemorrhage
iron deficiency"
https://www.orthobullets.com/basic-science/9000/lead-toxicity,,
https://www.orthobullets.com/knee-and-sports/3030/sinding-larsen-johansson-syndrome,"Pathophysiology
chronic injury
similar pathogenesis to Osgood-Schlatter
similar to Osgood-Schlatter disease which is at the distal attachment of the patella tendon
overuse causes a traction apophysitis",
https://www.orthobullets.com/anatomy/10112/obturator-nerve,,
https://www.orthobullets.com/anatomy/10068/gracilis,,
https://www.orthobullets.com/recon/9065/knee-biomechanics,,
https://www.orthobullets.com/pathology/8081/neuroblastoma,"Metastasis
metastasis to the bone are common and a
poor prognostic sign","fever, malaise, weight loss, diarrhea
if the adrenal glands are affected, the child may present with significant tachycardia
abdominal mass"
https://www.orthobullets.com/knee-and-sports/3018/prepatellar-bursitis-housemaids-knee,"Pathophysiology
may be septic or aseptic
20% are septic","pain
swelling"
https://www.orthobullets.com/anatomy/10091/flexor-hallucis-longus,,
https://www.orthobullets.com/knee-and-sports/3117/heat-illness-and-stroke,,consist of profuse sweating and nausea/vomiting
https://www.orthobullets.com/anatomy/10070/semimembranosus,,
https://www.orthobullets.com/anatomy/10035/supinator,,
https://www.orthobullets.com/pathology/8079/focal-fibrocartilaginous-dysplasia,"Pathophysiology
etiology and the pathogenesis of the deformity are unknown
Associated conditions
infantile tibia vara
important to recognize this variation of infantile tibia vara as it can resolve without surgery",
https://www.orthobullets.com/spine/2024/thoracolumbar-fracture-dislocation,"Pathophysiology
mechanism of injury
acceleration/deceleration injuries
resultng in hyperflexion, rotation
and shearing
of the spinal column
associated injury
neurologic deficits
head injury
concomitant injuries in thorax and abdomen
Classification Systems
Thoracolumbar Injury Classification System
(TLICS)
categorizes injuries based on
morphology of injury
neurologic injury
posterior ligamentous complex integrity
treatment recommendation based on total score
nonsurgical = 3 or lower
indeterminate = 4
surgical = 5 or higher",
https://www.orthobullets.com/knee-and-sports/3094/thigh-nerve-entrapment-syndromes,,chronic medial thigh pain
https://www.orthobullets.com/recon/12304/tha-aseptic-loosening,"Steps in the process
prosthesis micromotion
particulate debris formation
macrophage activated osteolysis
See wear and osteolysis basic science for full description","pain
location
groin pain
thigh pain
knee pain
aggrevating factors
often activity related"
https://www.orthobullets.com/basic-science/422815/pulmonary-embolism,,
https://www.orthobullets.com/recon/422974/adult-limb-deformity-and-correction,"Pathophysiology
mechanism of injury
related to associated injury or orthopedic condition that contributes to bony limb deformity
pathoanatomy
in most cases, the anatomic axis of bone is altered for some reason (malunion/nonunion, metabolic bone disease, etc) to the point where there is significant mechanical axis deviation (MAD), leading to altered joint contact pressures and ligamentous stability, which further contributes to joint degeneration and worsening of mechanical alignment over time
Associated conditions
orthopaedic conditions
malunion
nonunion
previous osteotomies
genu valgum/genu varum
advanced arthritis with deformity
bony tumors
childhood abnormalities
blount's disease
focal fibrocartilaginous dysplasia
proximal tibial physeal injury
cozen's phenomenon
skeletal dysplasia
spondyloepiphyseal dysplasia (SED)
metaphyseal dysplasia (MED)
femoral anteversion
limb length discrepancy (LLD)
medical conditions
metabolic bone disorders
renal osteodystrophy
rickets
vitamin D deficient
hypophosphatemic rickets
osteogenesis imperfecta
neuromuscular disorders
cerebral palsy
neurofibromatosis","common symptoms
pain with location based on deformity
varus deformity = medial knee pain
valgus deformity = lateral knee pain
subtle to obvious deformity
complaints of abnormal gait or loss of function"
https://www.orthobullets.com/basic-science/9007/intramembranous-bone-formation,,
https://www.orthobullets.com/spine/2072/spinal-cord-tumors,,
https://www.orthobullets.com/spine/2029/cervical-spondylosis,,
https://www.orthobullets.com/hand/6062/thumb-reconstruction,,
