Name,Etiology,Symptoms
ossification posterior longitudinal ligament,"Pathophysiology
cause is unclear but likely multifactorial
associated factors
diabetes
obesity
high salt-low meat diet
poor calcium absorption
mechanical stress on posterior longitudinal ligament","often asymptomatic
symptoms and exam findings consistent with symptoms of myelopathy"
elbow dislocation,"Pathophysiology
mechanism for posterolateral dislocation
usually a combination of
axial loading
supination/external rotation of the forearm
valgus posterolateral force
a varus posteromedial mechanism (combined with axial load and forearm external rotation) has also been reported
posterior dislocations may involve more than one injury mechanism
pathoanatomy
associated with complete or near complete circular disruption of capsuloligamentous stabilizers
pathoanatomic cascade
progression of injury is from lateral to medial
LCL fails first
(primary lesion)
by avulsion of the lateral epicondylar origin
midsubstance LCL tears are less common but do occur
MCL fails last
depending on degree of energy
Associated injuries
shoulder and wrist injuries
concomitant shoulder and wrist injuries occur in 10-15% of elbow dislocations",pain and swelling
base of thumb fractures,"Pathophysiology
mechanism of injury
most Bennett and Rolando are fractures caused by axial force applied to the thumb in flexion
pathoanatomy
imperfect reductions and above forces lead to increased joint contact pressures and subsequent predisposition to early arthritis
excessive angulation may lead to MCP joint hyperextension deformity",acute pain at the base of thumb with
odontoid fracture,"Pathophysiology
mechanism
displacement may be anterior (hyperflexion) or posterior (hyperextension)
anterior displacement
is associated with transverse ligament failure and atlanto-axial instability
posterior displacement
is caused by direct impact from the anterior arch of atlas during hyperextension
biomechanics
a fracture through the base of the odontoid process severely compromises the stability of the upper cervical spine.
Associated conditions
Os odontoideum
etiology
previously thought to be due to failure of fusion at the base of the odontoid
evidence now suggests it may represent the residuals of an old traumatic process
imaging
appears like a type II odontoid fx on xray
treatment
observation","neck pain
worse with motion, especially rotation
dysphagia
may be present when associated with a large retropharyngeal hematoma"
juvenile idiopathic arthritis,"Genetics
HLA markers
DR4 associated with polyarticular
DR8, DR5, DR2.1 associated with pauciarticular
RF- seropositive in <15%
Diagnostic criteria
a diagnosis of exclusion
must rule out infection
one of the following must be present to make diagnosis
rash
presence of RF
iridocyclitis
C-spine involvement
pericarditis
tenosynovitis
intermittent fever
morning stiffness
Associated conditions
C-spine involvement
may lead to kyphosis, facet ankylosis, and
atlantoaxial subluxation
Ocular involvement
typically consists of iridocyclitis, a type of anterior uveitis
frequently indolent and requires immediate ophthalmologic evaluation for slit lamp examination
can lead to rapid loss of vision if untreated
increase risk with positive ANA titer
Stills disease
acute-onset JRA with multiple joint involvement, fever, rash, and splenomegaly
infection must be ruled out
male = female
usually presents at age 5-10 years","morning stiffness and joint pain
visual changes
fever"
medial clavicle physeal fracture,"Pathophysiology
mechanism
fall onto an outstretched extremity
direct blow
child abuse a rare cause
pathoanatomy
considered a childhood equivalent to
adult sternoclavicular separation
physeal sleeve and strong costoclavicular and sternoclavicular ligaments usually remain intact with injury . However, in series by Lee et al. of 40 patients treated operatively for a posterior sternoclavicular injury 50% were physeal fractures and 50% were actually sternoclavicular dislocations
anterior displacement
metaphyseal fragment may be sharp and palpable immediately beneath the skin
clavicular head of the sternocleidomastoid muscle is pulled anteriorly with the bone and spasms
patient's head may be tilted towards the affected side
posterior displacement
local swelling, tenderness, and depression of the medial end of the clavicle
innominate artery and vein, internal jugular vein, phrenic and vagus nerves, trachea, and esophagus may be injured with posterior displacement","pain
dysfunction
anterior dislocation
deformity with a palpable bump
posterior dislocations
dyspnea or
dysphagia
tachypnea and
stridor
diminution or absence of distal pulses
paresthesias or paresis"
osteogenesis imperfecta,"Pathophysiology
can result from
decreased collagen secretion
production of abnormal collagen
leads to
insufficient osteoid production
physeal osteoblasts cannot form sufficient osteoid
periosteal osteoblasts cannot form sufficient osteoid and therefore
cannot remodel normally
Genetics
90% have an identifiable genetic mutation
COL 1A1 and COL 1A2
causes
abnormal collagen cross-linking
via a glycine substitution in the procollagen molecule
autosomal dominant
and
autosomal recessive
forms
milder autosomal dominant forms (Types I and IV)
severe autosomal dominant forms (Types II and III)
autosomal recessive forms (Type VI, VII)
CRTAP and LEPRE1 genes associated with severe, lethal forms of OI not associated with primary structural defect of type I collagen
Orthopaedic manifestations
bone fragility and fractures
fractures heal in normal fashion initially but the
bone does not remodel
can lead to progressive bowing
ligamentous laxity
short stature
scoliosis
codfish vertebrae (compression fx)
basilar invagination
olecranon apophyseal avulsion fx
most common first presenting sign
coxa vara (10%)
congenital anterolateral radial head dislocations
Non-Orthopaedic manifestations
blue sclera
dysmorphic, triangle shaped facies
hearing
loss
50% of adults with OI
may be conductive, sensorial and mixed
brownish opalescent teeth (
dentinogenesis
imperfecta)
alteration in dentin
brown/blue teeth, soft, translucent, prone to cavities
affects primary teeth > secondary teeth
wormian
skull bones (puzzle piece intrasutural skull bones)
hypermetabolism
increased risk of
malignant hyperthermia
hyperhidrosis, tachycardia, tachypnoea, heat intolerance
thin skin prone to subcutaneous hemorrhage
cardiovascular
mitral valve prolapse
aortic regurgitation","mild cases
multiple fractures
during childhood
severe cases
present with
fractures at birth and can be fatal
number of fractures typically decreases as patient ages and usually stops after puberty
basilar invagination
presents with apnea, altered consciousness, ataxia, or myelopathy
usually in third or fourth decade of life, but can be as early as teenage years"
bunionette deformity,"Pathophysiology
mechanism of disease
extrinsic causes
compression of forefoot (e.g. tight shoes)
abnormal loading on the lateral aspect of the foot
intrinsic causes
congenital deformities (e.g. splayfoot, brachymetatarsia)
inflammatory arthropathies
residual malalignments from surgery
pathoanatomy
boney prominence +/- bursitis over lateral aspect of 5th metatarsal head
increased 4-5 intermetatarsal angle  (normal 6.5-8 degrees)
increased lateral deviation angle (normal 0-7 degrees)
increased width of MT head (normal <13mm)
lateral bowing of the 5th metatarsal bone
Associated conditions
varus MTP joint
pes planus","cosmetic deformity
medial deviation of 5th toe
prominence of the 5th metatarsal head
pain
lateral bunion
plantar callus
worse with constrictive shoe wear"
flexor tendon injuries,"Pathophysiology
mechanism of injury
commonly results from volar lacerations and may have concomitant neurovascular injury
pathophysiology
tendon healing
occurs via 2 pathways
intrinsic
produced by tenocytes within the tendon
extrinsic
stimulated by surrounding synovial fluid and inflammatory cells
implicated in the formation of scarring and adhesions
occurs in 3 phases
Phases of Tendon Healing
Phase
Days
Histology
Strength
Inflammatory
0-5
Cellular proliferation
None
Fibroblastic
5-28
Fibroblastic proliferation with disorganized collagen
Increasing
Remodeling
>28 days
Linear collagen organization
Will tolerate active range of motion",loss of active flexion strength or motion of the involved digit(s)
anterior inferior iliac spine avulsion aiis,"Pathophysiology
mechanism
typically occurs due to
eccentric contraction of the rectus femoris (femoral n.)
as hip extends and knee is flexed
causes avulsion of its anatomic origin off the pelvis",pain and weakness
